LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
35000,100000,TRUE,99,434,-1
66929,141670,FALSE,112,434,897
81223,258244,TRUE,94,435,869
65334,130037,TRUE,81,435,782
107219,192996,FALSE,64,439,1244
63529,63529,FALSE,124,439,641
79057,192776,TRUE,61,440,904
61351,98489,FALSE,70,440,949
102350,262043,TRUE,130,441,987
42252,340152,FALSE,44,441,1414
54300,110645,FALSE,23,441,622
139386,418610,FALSE,92,441,1090
51528,66000,FALSE,42,445,-1
16159,50000,TRUE,21,445,-1
41222,187652,FALSE,121,445,-1
16488,163200,FALSE,137,445,-1
49687,68867,TRUE,137,445,900
112200,193800,FALSE,121,445,635
59175,83448,FALSE,113,445,852
42046,219300,TRUE,152,445,831
35000,53500,FALSE,98,445,-1
44086,150000,FALSE,120,445,-1
57164,199857,TRUE,126,445,701
44309,31282,TRUE,77,446,728
50680,25003,TRUE,107,446,602
78084,170017,FALSE,129,446,966
61408,136481,FALSE,148,446,-1
61408,136481,FALSE,148,446,-1
76358,87001,TRUE,118,446,806
42586,64083,FALSE,138,446,624
46375,331500,FALSE,102,446,663
52193,114905,TRUE,144,447,823
142336,164621,FALSE,60,447,848
7102,65296,TRUE,63,447,-1
51995,138284,TRUE,54,447,769
73072,238759,FALSE,54,448,998
141986,340092,TRUE,62,448,1079
72139,452950,FALSE,56,448,770
42222,211705,TRUE,115,449,929
97998,90532,TRUE,85,449,718
70897,147736,TRUE,106,449,977
90599,177480,TRUE,103,449,638
73612,158552,FALSE,68,449,757
68325,165000,FALSE,107,449,-1
10477,30103,FALSE,127,452,-1
84936,365428,TRUE,67,453,798
67949,147985,FALSE,110,453,888
97072,111719,FALSE,62,453,614
34698,376403,TRUE,37,453,967
30916,209100,TRUE,96,454,624
19196,96573,TRUE,158,454,805
71012,5918,TRUE,97,454,901
71012,74566,FALSE,138,455,609
58309,171258,FALSE,116,455,620
50203,144558,TRUE,106,455,757
41272,171121,TRUE,132,455,648
76554,168300,TRUE,46,455,847
9347,71105,FALSE,108,456,993
61408,124324,FALSE,68,456,677
67138,154546,FALSE,11,460,816
72506,251195,FALSE,38,460,784
41751,158270,TRUE,109,461,1001
132557,168921,FALSE,144,461,729
82953,184577,TRUE,109,461,984
117941,180113,FALSE,121,461,984
176745,135150,TRUE,76,462,741
72803,51148,FALSE,91,462,600
24732,195000,FALSE,100,467,1068
35484,89456,FALSE,65,467,841
45000,95000,FALSE,32,467,1377
124778,225482,TRUE,32,468,911
91005,158809,FALSE,122,468,965
91005,158809,FALSE,122,468,965
40000,166500,TRUE,79,468,-1
90202,188056,TRUE,137,469,769
64331,46639,TRUE,96,470,679
119931,43062,FALSE,126,473,566
105201,75503,FALSE,77,473,641
79647,313906,TRUE,79,475,-1
46375,316200,FALSE,126,475,837
150107,509011,TRUE,58,476,1138
45000,250000,TRUE,69,477,-1
64134,163941,TRUE,124,477,1063
78084,153211,FALSE,136,480,958
138868,156444,TRUE,139,480,963
86633,109739,FALSE,74,480,980
78469,69058,FALSE,67,481,631
93775,261726,TRUE,108,481,869
96498,134145,TRUE,136,481,874
9815,66711,FALSE,67,482,720
83662,180077,FALSE,96,482,719
12590,11103,TRUE,114,482,1026
58017,95216,TRUE,27,482,938
84342,187821,TRUE,111,482,980
112200,214200,TRUE,108,482,769
19579,136600,FALSE,68,484,-1
141647,69168,TRUE,109,484,666
64051,179240,TRUE,143,484,747
57117,11999,FALSE,105,487,956
16159,56830,FALSE,56,487,1104
30916,155000,FALSE,106,488,1268
24732,153000,FALSE,134,488,656
27824,143500,FALSE,157,489,-1
101858,152704,FALSE,83,489,876
87490,134279,FALSE,82,489,725
39994,81233,FALSE,66,490,788
40800,341000,FALSE,132,491,-1
27731,98982,TRUE,94,491,981
112200,222360,TRUE,98,491,763
25764,102000,FALSE,47,491,720
133793,33310,FALSE,90,494,641
98628,55056,FALSE,80,494,694
137915,127523,TRUE,84,494,729
36921,50402,FALSE,54,495,-1
96085,128134,FALSE,113,495,890
44706,81059,TRUE,81,495,693
117941,383561,TRUE,85,495,1054
65094,153869,TRUE,113,496,965
140000,319000,TRUE,77,496,908
173156,348368,FALSE,21,496,994
48619,115507,TRUE,32,496,763
46949,104137,TRUE,28,496,901
60665,164702,TRUE,91,497,1085
111642,371113,TRUE,89,497,973
144479,144649,TRUE,115,498,865
36790,48586,TRUE,109,498,624
47302,81755,FALSE,69,498,-1
15378,178500,FALSE,95,501,733
112200,239700,FALSE,54,502,714
122400,204000,FALSE,54,502,720
