LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
108209,310994,TRUE,305,232,828
289738,592366,TRUE,305,216,569
108209,224017,TRUE,305,301,1093
108209,271322,TRUE,305,232,720
255000,815490,TRUE,305,232,835
213326,611125,FALSE,305,784,934
108209,300092,TRUE,303,233,835
111819,192994,FALSE,300,237,869
106090,270491,TRUE,294,344,-1
247544,501289,TRUE,296,233,700
168814,291598,TRUE,300,281,744
141459,323087,TRUE,298,232,699
132949,265912,TRUE,299,227,591
206779,561464,TRUE,290,311,-1
243615,619408,TRUE,291,232,799
212354,394378,FALSE,288,255,-1
182450,377071,FALSE,289,237,699
152040,463619,TRUE,287,232,693
108209,181585,FALSE,285,234,686
206537,309511,FALSE,287,234,713
255000,601800,TRUE,287,693,988
257641,772925,FALSE,287,232,722
108209,68717,TRUE,287,358,-1
141640,333289,TRUE,287,196,890
130192,411834,FALSE,284,234,784
285396,438401,FALSE,284,330,735
270193,405292,FALSE,283,234,729
108209,260854,FALSE,283,336,735
278488,501286,TRUE,283,174,633
302099,484682,FALSE,282,223,533
295531,788508,TRUE,279,232,679
173361,320630,TRUE,279,234,673
271458,410078,FALSE,278,234,673
182450,504790,TRUE,282,234,714
408104,612156,FALSE,283,385,797
266888,386784,TRUE,265,392,835
350041,525588,TRUE,285,553,-1
144360,307053,TRUE,286,245,835
254816,384476,TRUE,305,237,871
141090,217914,TRUE,305,237,826
262703,394336,FALSE,305,597,1024
460000,690000,TRUE,305,240,727
213511,320269,TRUE,305,234,804
290033,435052,FALSE,305,237,791
217187,326081,TRUE,305,227,584
108209,278626,TRUE,303,233,799
130340,433056,TRUE,302,227,534
16158,68137,TRUE,295,225,506
257641,656987,TRUE,299,237,736
108209,267933,TRUE,292,227,745
120363,361219,TRUE,288,233,723
255000,642498,FALSE,285,276,777
512237,434332,TRUE,288,1016,1273
280500,781320,FALSE,289,757,1094
153694,350526,FALSE,292,658,1518
108209,205755,TRUE,301,169,363
182016,461121,FALSE,304,155,465
150301,379975,TRUE,308,232,786
62752,122917,TRUE,307,980,1276
