LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
55182,139813,TRUE,963,400,771
206113,410680,FALSE,970,584,828
122522,181339,FALSE,973,251,671
55182,186410,FALSE,980,463,882
150000,59924,FALSE,983,227,-1
257641,386462,FALSE,987,210,408
133478,321143,TRUE,990,191,542
110789,214058,TRUE,991,232,609
120361,186611,TRUE,997,219,465
112115,227712,TRUE,1002,262,671
63123,136171,TRUE,925,91,518
229664,346560,TRUE,924,260,863
63123,147896,FALSE,924,244,553
110789,169735,FALSE,951,269,723
173270,333837,FALSE,959,219,476
223101,378804,FALSE,976,157,579
214178,321269,FALSE,996,470,948
156188,364925,TRUE,1000,94,244
63123,160527,TRUE,1012,244,548
229500,540600,FALSE,1015,204,513
273360,410040,FALSE,1025,527,793
194097,291148,FALSE,1035,325,1004
219708,329564,FALSE,1038,177,492
110946,168013,TRUE,1039,307,983
133442,245114,FALSE,1039,283,623
90268,232265,TRUE,1039,290,825
271320,406980,FALSE,1039,232,520
63123,571963,TRUE,1039,444,695
88861,191580,FALSE,1039,262,654
63123,161409,TRUE,1039,211,449
234456,336751,TRUE,1039,587,1140
63123,156915,TRUE,1038,251,658
63123,128051,TRUE,1034,273,717
111649,234494,TRUE,1032,223,721
272999,409501,FALSE,1012,178,436
109731,188122,TRUE,999,353,742
171551,525588,FALSE,996,191,639
150123,102318,FALSE,976,196,-1
133478,208716,FALSE,959,279,588
114413,200233,TRUE,951,350,605
198560,298957,FALSE,950,252,595
63123,155111,TRUE,959,219,597
63123,128960,FALSE,987,197,367
105317,221132,TRUE,996,325,1007
63123,155111,TRUE,1001,197,358
108266,37775,FALSE,1008,255,710
118870,126797,TRUE,1014,246,528
160766,341639,FALSE,1020,381,680
295531,520200,TRUE,1027,276,1009
288966,510000,FALSE,1035,588,996
122520,170717,TRUE,1038,266,580
124965,193991,TRUE,1039,444,808
128116,158546,FALSE,1039,212,512
197020,537243,TRUE,1039,329,825
112839,135412,FALSE,1039,266,531
127463,189502,TRUE,1039,197,358
204000,508980,FALSE,1039,721,1106
222009,333561,TRUE,1038,50,247
63123,162712,FALSE,1033,262,654
63123,156916,TRUE,1029,197,895
212165,335068,FALSE,1028,238,574
236225,379075,FALSE,1034,386,939
157676,206113,FALSE,1035,618,836
178891,417431,FALSE,1035,206,499
123102,227382,FALSE,1038,125,259
115860,246216,TRUE,1034,253,539
118964,235060,TRUE,1033,884,1066
128130,209676,TRUE,1029,419,1031
72139,144469,FALSE,1029,216,454
145611,315501,TRUE,1030,232,657
157676,204052,FALSE,1029,605,826
252496,411729,TRUE,1029,377,738
112677,190698,FALSE,1027,142,266
63123,199943,TRUE,1023,332,855
106489,349717,TRUE,1018,619,903
204000,479400,FALSE,1012,801,993
124965,186620,TRUE,1003,198,625
133478,303367,TRUE,1006,210,604
165560,229816,FALSE,1013,611,814
136472,353486,FALSE,1015,232,505
63123,152407,TRUE,1017,237,601
63123,156015,TRUE,1023,211,714
115311,187986,TRUE,1023,223,613
114116,173241,TRUE,1024,171,406
63123,148800,TRUE,1024,211,504
63123,177879,TRUE,1024,219,612
296848,422532,TRUE,1024,370,701
145046,216990,TRUE,1024,101,400
97248,187433,FALSE,1024,218,469
207484,310112,TRUE,1024,206,439
144391,271459,TRUE,1011,218,723
63123,145194,TRUE,1012,241,505
105317,184075,TRUE,1012,238,853
101893,136386,FALSE,1012,436,867
63123,146096,FALSE,1012,485,1038
70338,144467,TRUE,1012,315,701
147164,154585,FALSE,1011,653,850
172114,258753,FALSE,1011,218,463
150000,97419,FALSE,999,668,-1
63123,152406,TRUE,992,315,626
206113,407021,FALSE,984,313,608
181201,307480,FALSE,974,314,533
101743,142137,TRUE,965,765,871
63123,188107,TRUE,957,604,1150
265847,434849,TRUE,965,367,996
206113,451212,FALSE,971,737,930
291592,488901,TRUE,985,422,856
114687,217307,TRUE,996,181,707
234456,321541,FALSE,988,414,736
99897,149544,TRUE,982,170,505
105317,146696,TRUE,977,176,580
105317,148954,FALSE,960,435,681
165935,277230,TRUE,988,303,611
63123,275554,TRUE,993,311,885
